2026-09-07 09:14:50,488 INFO     semantic_afterlife.events run s5-lock-occupancy-repl-20260907T091450Z-e8452acb (live)
2026-09-07 09:14:50,490 WARNING  semantic_afterlife.runctx git tree is dirty; the diff is recorded in the manifest, but prefer committing before a run that produces reportable numbers
2026-09-07 09:14:51,562 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__physics__s1: W=4096 T=49152 (12.0 turnovers)
2026-09-07 09:14:51,583 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__physics__s2: W=4096 T=49152 (12.0 turnovers)
2026-09-07 09:19:11,314 WARNING  semantic_afterlife.providers openrouter /completions retry 1: http 429
2026-09-07 09:20:24,033 WARNING  semantic_afterlife.providers openrouter /completions retry 1: http 429
2026-09-07 09:31:06,740 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__physics__s1: 49 steps, 49152 tokens, 48 chunks, $0.0448
2026-09-07 09:31:06,742 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__surreal__s1: W=4096 T=49152 (12.0 turnovers)
2026-09-07 09:31:31,215 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__physics__s2: 49 steps, 49152 tokens, 48 chunks, $0.0448
2026-09-07 09:31:31,216 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__surreal__s2: W=4096 T=49152 (12.0 turnovers)
2026-09-07 09:35:52,870 WARNING  semantic_afterlife.providers openrouter /completions retry 1: http 429
2026-09-07 09:37:24,063 WARNING  semantic_afterlife.providers openrouter /completions retry 1: http 429
2026-09-07 09:37:36,044 WARNING  semantic_afterlife.providers openrouter /completions retry 1: http 429
2026-09-07 09:41:16,909 WARNING  semantic_afterlife.providers openrouter /completions retry 1: http 429
2026-09-07 09:41:23,076 WARNING  semantic_afterlife.providers openrouter /completions retry 2: http 429
2026-09-07 09:43:35,874 WARNING  semantic_afterlife.providers openrouter /completions retry 1: http 429
2026-09-07 09:47:39,247 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__surreal__s2: 86 steps, 49152 tokens, 48 chunks, $0.0624
2026-09-07 09:47:39,248 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__finance__s1: W=4096 T=49152 (12.0 turnovers)
2026-09-07 09:48:05,384 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__surreal__s1: 94 steps, 49152 tokens, 48 chunks, $0.0659
2026-09-07 09:48:05,386 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__finance__s2: W=4096 T=49152 (12.0 turnovers)
2026-09-07 10:03:52,323 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__finance__s1: 55 steps, 49152 tokens, 48 chunks, $0.0476
2026-09-07 10:03:52,324 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__biology__s1: W=4096 T=49152 (12.0 turnovers)
2026-09-07 10:04:09,793 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__finance__s2: 49 steps, 49152 tokens, 48 chunks, $0.0446
2026-09-07 10:04:09,794 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__biology__s2: W=4096 T=49152 (12.0 turnovers)
2026-09-07 10:05:29,766 WARNING  semantic_afterlife.providers openrouter /completions retry 1: http 429
2026-09-07 10:16:53,961 WARNING  semantic_afterlife.providers openrouter /completions retry 1: http 429
2026-09-07 10:17:03,875 WARNING  semantic_afterlife.providers openrouter /completions retry 1: http 429
2026-09-07 10:20:08,444 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__biology__s2: 59 steps, 49152 tokens, 48 chunks, $0.0467
2026-09-07 10:20:08,445 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__war__s1: W=4096 T=49152 (12.0 turnovers)
2026-09-07 10:20:25,517 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__biology__s1: 56 steps, 49152 tokens, 48 chunks, $0.0473
2026-09-07 10:20:25,518 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__war__s2: W=4096 T=49152 (12.0 turnovers)
2026-09-07 10:34:49,145 WARNING  semantic_afterlife.providers openrouter /completions retry 1: transport: 
2026-09-07 10:34:49,275 WARNING  semantic_afterlife.providers openrouter /completions retry 1: transport: 
2026-09-07 10:42:41,648 WARNING  semantic_afterlife.providers openrouter /completions retry 1: http 429
2026-09-07 10:42:57,457 WARNING  semantic_afterlife.providers openrouter /completions retry 1: http 429
2026-09-07 10:45:54,386 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__war__s1: 56 steps, 49152 tokens, 48 chunks, $0.0479
2026-09-07 10:45:54,387 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__love__s1: W=4096 T=49152 (12.0 turnovers)
2026-09-07 10:46:55,679 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__war__s2: 75 steps, 49152 tokens, 47 chunks, $0.0572
2026-09-07 10:46:55,681 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__love__s2: W=4096 T=49152 (12.0 turnovers)
2026-09-07 11:03:00,837 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__love__s1: 91 steps, 49152 tokens, 48 chunks, $0.0642
2026-09-07 11:03:00,839 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__recipe__s1: W=4096 T=49152 (12.0 turnovers)
2026-09-07 11:04:12,762 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__love__s2: 108 steps, 49152 tokens, 48 chunks, $0.0730
2026-09-07 11:04:12,763 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__recipe__s2: W=4096 T=49152 (12.0 turnovers)
2026-09-07 11:20:29,819 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__recipe__s2: 78 steps, 49152 tokens, 48 chunks, $0.0528
2026-09-07 11:20:29,820 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__programming__s1: W=4096 T=49152 (12.0 turnovers)
2026-09-07 11:21:42,940 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__recipe__s1: 186 steps, 49152 tokens, 48 chunks, $0.1076
2026-09-07 11:21:42,941 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__programming__s2: W=4096 T=49152 (12.0 turnovers)
2026-09-07 11:35:40,586 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__programming__s1: 49 steps, 49152 tokens, 48 chunks, $0.0445
2026-09-07 11:35:40,587 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__philosophy__s1: W=4096 T=49152 (12.0 turnovers)
2026-09-07 11:37:32,943 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__programming__s2: 50 steps, 49152 tokens, 47 chunks, $0.0449
2026-09-07 11:37:32,944 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__philosophy__s2: W=4096 T=49152 (12.0 turnovers)
2026-09-07 12:02:12,985 INFO     semantic_afterlife.events resume s5-lock-occupancy-repl-20260907T091450Z-e8452acb (live)
2026-09-07 12:02:12,987 WARNING  semantic_afterlife.runctx git tree is dirty; the diff is recorded in the manifest, but prefer committing before a run that produces reportable numbers
2026-09-07 12:02:14,171 INFO     semantic_afterlife.events resuming or-qwen3-8b__W4096__T0p3__physics__s1 at step 49 (49152 tokens)
2026-09-07 12:02:14,172 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__physics__s1: W=4096 T=49152 (12.0 turnovers)
2026-09-07 12:02:14,176 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__physics__s1: 49 steps, 49152 tokens, 48 chunks, $0.0448
2026-09-07 12:02:14,877 INFO     semantic_afterlife.events resuming or-qwen3-8b__W4096__T0p3__physics__s2 at step 49 (49152 tokens)
2026-09-07 12:02:14,878 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__physics__s2: W=4096 T=49152 (12.0 turnovers)
2026-09-07 12:02:14,882 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__physics__s2: 49 steps, 49152 tokens, 48 chunks, $0.0448
2026-09-07 12:02:16,152 INFO     semantic_afterlife.events resuming or-qwen3-8b__W4096__T0p3__surreal__s1 at step 94 (49152 tokens)
2026-09-07 12:02:16,153 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__surreal__s1: W=4096 T=49152 (12.0 turnovers)
2026-09-07 12:02:16,156 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__surreal__s1: 94 steps, 49152 tokens, 48 chunks, $0.0659
2026-09-07 12:02:17,355 INFO     semantic_afterlife.events resuming or-qwen3-8b__W4096__T0p3__surreal__s2 at step 86 (49152 tokens)
2026-09-07 12:02:17,356 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__surreal__s2: W=4096 T=49152 (12.0 turnovers)
2026-09-07 12:02:17,358 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__surreal__s2: 86 steps, 49152 tokens, 48 chunks, $0.0624
2026-09-07 12:02:18,137 INFO     semantic_afterlife.events resuming or-qwen3-8b__W4096__T0p3__finance__s1 at step 55 (49152 tokens)
2026-09-07 12:02:18,137 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__finance__s1: W=4096 T=49152 (12.0 turnovers)
2026-09-07 12:02:18,141 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__finance__s1: 55 steps, 49152 tokens, 48 chunks, $0.0476
2026-09-07 12:02:18,839 INFO     semantic_afterlife.events resuming or-qwen3-8b__W4096__T0p3__finance__s2 at step 49 (49152 tokens)
2026-09-07 12:02:18,839 INFO     semantic_afterlife.events start or-qwen3-8b__W4096__T0p3__finance__s2: W=4096 T=49152 (12.0 turnovers)
2026-09-07 12:02:18,841 INFO     semantic_afterlife.events completed or-qwen3-8b__W4096__T0p3__finance__s2: 49 steps, 49152 tokens, 48 chunks, $0.0446
